,MPJPE VIBE,MPJPE MP
Hombro_D,0.13744305,0.32461774
Hombro_I,0.18601179,0.34575075
Codo_D,0.1962662,0.502439
Codo_I,0.2553731,0.5346591
Muñeca_D,0.30195206,0.6079339
Muñeca_I,0.33138347,0.66341126
Cadera_D,0.0,0.0
Cadera_I,0.07802116,0.10683957
Rodilla_D,0.16152251,0.260248
Rodilla_I,0.18043013,0.32352644
Tobillo_D,0.21864136,0.3748196
Tobillo_I,0.21358238,0.44130743
Cuello,0.14524129,0.20342112
Cabeza,0.23420967,0.26172373
