,MPJPE VIBE,MPJPE MP
Hombro_D,0.078174,0.34091988
Hombro_I,0.09988543,0.28621387
Codo_D,0.10800192,0.48015895
Codo_I,0.12126889,0.42202854
Muñeca_D,0.17379425,0.5998521
Muñeca_I,0.20278428,0.4616984
Cadera_D,0.0,0.0
Cadera_I,0.031605385,0.08646013
Rodilla_D,0.11426747,0.3450941
Rodilla_I,0.123710364,0.31904948
Tobillo_D,0.15802741,0.45786816
Tobillo_I,0.18015464,0.37636447
Cuello,0.100709915,0.18902126
Cabeza,0.13898368,0.19231313
