,MPJPE VIBE,MPJPE MP
Hombro_D,5.588109,5.4884915
Hombro_I,5.573506,5.578311
Codo_D,5.6018863,5.5365767
Codo_I,5.581466,5.557171
Muñeca_D,5.604913,5.601936
Muñeca_I,5.586873,5.5822344
Cadera_D,5.608284,5.608284
Cadera_I,5.599763,5.5980706
Rodilla_D,5.6317306,5.6281877
Rodilla_I,5.616658,5.6825128
Tobillo_D,5.6532254,5.691152
Tobillo_I,5.6434164,5.7468038
Cuello,5.5817914,5.5054708
Cabeza,5.5850496,5.4757414
