,MPJPE VIBE,MPJPE MP
Hombro_D,0.7881445,0.8251013
Hombro_I,0.75384146,0.7825875
Codo_D,0.793854,0.90795463
Codo_I,0.7491857,0.8169382
Muñeca_D,0.8013031,0.883935
Muñeca_I,0.75360703,0.7950471
Cadera_D,0.77583224,0.77583224
Cadera_I,0.76508576,0.7612225
Rodilla_D,0.783156,0.7995316
Rodilla_I,0.73778003,0.7802053
Tobillo_D,0.7967141,0.814725
Tobillo_I,0.7650032,0.8770886
Cuello,0.7813568,0.7774596
Cabeza,0.80381256,0.7719455
