,MPJPE VIBE,MPJPE MP
Hombro_D,0.9128063,1.0053334
Hombro_I,0.9751874,0.95857954
Codo_D,0.89097285,1.0681428
Codo_I,0.95786184,0.9523868
Muñeca_D,0.9060096,1.1197404
Muñeca_I,0.9666539,0.9448046
Cadera_D,0.92245585,0.92245585
Cadera_I,0.9488614,0.94778293
Rodilla_D,0.9128972,0.9919478
Rodilla_I,0.9750281,1.0022831
Tobillo_D,0.93695754,1.0299367
Tobillo_I,0.9833096,1.0513692
Cuello,0.9517429,0.8914911
Cabeza,0.8996492,0.89662915
