,MPJPE VIBE,MPJPE MP
Hombro_D,0.16076535,0.44568235
Hombro_I,0.1380124,0.296891
Codo_D,0.20385095,0.74067867
Codo_I,0.1929295,0.5448595
Muñeca_D,0.31949162,0.9754745
Muñeca_I,0.28533602,0.742189
Cadera_D,0.0,0.0
Cadera_I,0.0562962,0.08505289
Rodilla_D,0.12026169,0.45785585
Rodilla_I,0.19952548,0.39414158
Tobillo_D,0.16095737,0.604298
Tobillo_I,0.2429876,0.6378727
Cuello,0.18432808,0.21134743
Cabeza,0.2859379,0.2865382
