,MPJPE VIBE,MPJPE MP
Hombro_D,6.823207,6.907514
Hombro_I,6.7347565,6.5779805
Codo_D,6.842234,7.0028286
Codo_I,6.7277923,6.527042
Muñeca_D,6.855536,7.0227203
Muñeca_I,6.716507,6.5177407
Cadera_D,6.789138,6.789138
Cadera_I,6.7491736,6.760939
Rodilla_D,6.7950406,6.8693056
Rodilla_I,6.7545924,6.7245417
Tobillo_D,6.795405,6.8733964
Tobillo_I,6.7511306,6.7576737
Cuello,6.783172,6.729697
Cabeza,6.79574,6.7409906
