,MPJPE VIBE,MPJPE MP
Hombro_D,0.71426785,0.7947152
Hombro_I,0.7589966,0.8475939
Codo_D,0.7424218,0.8991429
Codo_I,0.7696456,0.86371577
Muñeca_D,0.76582634,0.9685861
Muñeca_I,0.7822709,0.8648084
Cadera_D,0.71149796,0.71149796
Cadera_I,0.7384247,0.74576235
Rodilla_D,0.737294,0.778406
Rodilla_I,0.80474913,0.8490323
Tobillo_D,0.6473637,0.8322032
Tobillo_I,0.74407643,0.8818612
Cuello,0.72930795,0.77358705
Cabeza,0.79317486,0.793134
