,MPJPE VIBE,MPJPE MP
Hombro_D,2.24726,2.2866085
Hombro_I,2.3193858,2.462868
Codo_D,2.2252412,2.2709992
Codo_I,2.4265199,2.496951
Muñeca_D,2.1490495,2.4456916
Muñeca_I,2.4619932,2.539354
Cadera_D,2.3699682,2.3699682
Cadera_I,2.4034352,2.417699
Rodilla_D,2.3907104,2.4733272
Rodilla_I,2.5079832,2.4804425
Tobillo_D,2.4827313,2.6241577
Tobillo_I,2.5507932,2.4923828
Cuello,2.2408166,2.2801101
Cabeza,2.1472707,2.2556908
