sequence_id,model,tau,pck_percent_mean,frames_used
courtyard_relaxOnBench_01,mp,0.4,60.457322,959
courtyard_relaxOnBench_01,mp,0.5,80.448384,959
courtyard_relaxOnBench_01,mp,0.6,93.281692,959
courtyard_relaxOnBench_01,mp,0.8,99.694622,959
courtyard_relaxOnBench_01,mp,1.0,100.0,959
courtyard_relaxOnBench_01,vibe,0.1,40.592879,959
courtyard_relaxOnBench_01,vibe,0.2,81.118725,959
courtyard_relaxOnBench_01,vibe,0.3,95.434232,959
courtyard_relaxOnBench_01,vibe,0.4,99.136005,959
courtyard_relaxOnBench_01,vibe,0.5,99.679726,959
courtyard_relaxOnBench_01,vibe,0.6,99.947862,959
courtyard_relaxOnBench_01,vibe,0.8,100.0,959
courtyard_relaxOnBench_01,vibe,1.0,100.0,959
flat_guitar_01,mp,0.1,7.975182,472
flat_guitar_01,mp,0.2,19.309927,472
flat_guitar_01,mp,0.3,42.145884,472
flat_guitar_01,mp,0.4,60.97155,472
flat_guitar_01,mp,0.5,79.509685,472
flat_guitar_01,mp,0.6,82.475787,472
flat_guitar_01,mp,0.8,99.409806,472
flat_guitar_01,mp,1.0,100.0,472
flat_guitar_01,vibe,0.1,22.336562,472
flat_guitar_01,vibe,0.2,56.280266,472
flat_guitar_01,vibe,0.3,77.254843,472
flat_guitar_01,vibe,0.4,89.906174,472
flat_guitar_01,vibe,0.5,92.115617,472
flat_guitar_01,vibe,0.6,94.249395,472
flat_guitar_01,vibe,0.8,99.576271,472
flat_guitar_01,vibe,1.0,100.0,472
outdoors_climbing_00,mp,0.1,15.028057,1222
outdoors_climbing_00,mp,0.2,25.555296,1222
outdoors_climbing_00,mp,0.3,36.748889,1222
outdoors_climbing_00,mp,0.4,53.179799,1222
outdoors_climbing_00,mp,0.5,64.162965,1222
outdoors_climbing_00,mp,0.6,76.280103,1222
outdoors_climbing_00,mp,0.8,89.805939,1222
outdoors_climbing_00,mp,1.0,93.920973,1222
outdoors_climbing_00,vibe,0.1,43.258492,1228
outdoors_climbing_00,vibe,0.2,76.401815,1228
outdoors_climbing_00,vibe,0.3,92.205677,1228
outdoors_climbing_00,vibe,0.4,97.446487,1228
outdoors_climbing_00,vibe,0.5,98.947185,1228
outdoors_climbing_00,vibe,0.6,99.651,1228
outdoors_climbing_00,vibe,0.8,99.94765,1228
outdoors_climbing_00,vibe,1.0,100.0,1228
outdoors_climbing_01,mp,0.1,14.043584,1062
outdoors_climbing_01,mp,0.2,24.791499,1062
outdoors_climbing_01,mp,0.3,39.857412,1062
outdoors_climbing_01,mp,0.4,57.458972,1062
outdoors_climbing_01,mp,0.5,69.17541,1062
outdoors_climbing_01,mp,0.6,82.08905,1062
outdoors_climbing_01,mp,0.8,95.856874,1062
outdoors_climbing_01,mp,1.0,98.587571,1062
outdoors_climbing_01,vibe,0.1,35.418348,1062
outdoors_climbing_01,vibe,0.2,69.874899,1062
outdoors_climbing_01,vibe,0.3,87.496637,1062
outdoors_climbing_01,vibe,0.4,95.594566,1062
outdoors_climbing_01,vibe,0.5,98.567393,1062
outdoors_climbing_01,vibe,0.6,99.630078,1062
outdoors_climbing_01,vibe,0.8,99.91929,1062
outdoors_climbing_01,vibe,1.0,100.0,1062
outdoors_climbing_02,mp,0.1,13.253968,360
