sequence_id,frame,model,tau,pck_percent,valid_keypoints
courtyard_backpack_00,13,mp,0.1,14.285714,14
courtyard_backpack_00,13,mp,0.2,28.571429,14
courtyard_backpack_00,13,mp,0.3,50.0,14
courtyard_backpack_00,13,mp,0.4,78.571429,14
courtyard_backpack_00,13,mp,0.5,100.0,14
courtyard_backpack_00,13,mp,0.6,100.0,14
courtyard_backpack_00,13,mp,0.8,100.0,14
courtyard_backpack_00,13,mp,1.0,100.0,14
courtyard_backpack_00,14,mp,0.1,7.142857,14
courtyard_backpack_00,14,mp,0.2,28.571429,14
courtyard_backpack_00,14,mp,0.3,50.0,14
courtyard_backpack_00,14,mp,0.4,78.571429,14
courtyard_backpack_00,14,mp,0.5,100.0,14
courtyard_backpack_00,14,mp,0.6,100.0,14
courtyard_backpack_00,14,mp,0.8,100.0,14
courtyard_backpack_00,14,mp,1.0,100.0,14
courtyard_backpack_00,15,mp,0.1,14.285714,14
courtyard_backpack_00,15,mp,0.2,28.571429,14
courtyard_backpack_00,15,mp,0.3,50.0,14
courtyard_backpack_00,15,mp,0.4,78.571429,14
courtyard_backpack_00,15,mp,0.5,100.0,14
courtyard_backpack_00,15,mp,0.6,100.0,14
courtyard_backpack_00,15,mp,0.8,100.0,14
courtyard_backpack_00,15,mp,1.0,100.0,14
courtyard_backpack_00,16,mp,0.1,7.142857,14
courtyard_backpack_00,16,mp,0.2,28.571429,14
courtyard_backpack_00,16,mp,0.3,50.0,14
courtyard_backpack_00,16,mp,0.4,78.571429,14
courtyard_backpack_00,16,mp,0.5,100.0,14
courtyard_backpack_00,16,mp,0.6,100.0,14
courtyard_backpack_00,16,mp,0.8,100.0,14
courtyard_backpack_00,16,mp,1.0,100.0,14
courtyard_backpack_00,17,mp,0.1,7.142857,14
courtyard_backpack_00,17,mp,0.2,28.571429,14
courtyard_backpack_00,17,mp,0.3,50.0,14
courtyard_backpack_00,17,mp,0.4,78.571429,14
courtyard_backpack_00,17,mp,0.5,100.0,14
courtyard_backpack_00,17,mp,0.6,100.0,14
courtyard_backpack_00,17,mp,0.8,100.0,14
courtyard_backpack_00,17,mp,1.0,100.0,14
courtyard_backpack_00,18,mp,0.1,7.142857,14
courtyard_backpack_00,18,mp,0.2,28.571429,14
courtyard_backpack_00,18,mp,0.3,50.0,14
courtyard_backpack_00,18,mp,0.4,78.571429,14
courtyard_backpack_00,18,mp,0.5,100.0,14
courtyard_backpack_00,18,mp,0.6,100.0,14
courtyard_backpack_00,18,mp,0.8,100.0,14
courtyard_backpack_00,18,mp,1.0,100.0,14
courtyard_backpack_00,19,mp,0.1,7.142857,14
courtyard_backpack_00,19,mp,0.2,28.571429,14
courtyard_backpack_00,19,mp,0.3,50.0,14
courtyard_backpack_00,19,mp,0.4,78.571429,14
courtyard_backpack_00,19,mp,0.5,100.0,14
courtyard_backpack_00,19,mp,0.6,100.0,14
courtyard_backpack_00,19,mp,0.8,100.0,14
courtyard_backpack_00,19,mp,1.0,100.0,14
courtyard_backpack_00,20,mp,0.1,7.142857,14
courtyard_backpack_00,20,mp,0.2,21.428571,14
courtyard_backpack_00,20,mp,0.3,42.857143,14
courtyard_backpack_00,20,mp,0.4,78.571429,14
courtyard_backpack_00,20,mp,0.5,100.0,14
courtyard_backpack_00,20,mp,0.6,100.0,14
courtyard_backpack_00,20,mp,0.8,100.0,14
courtyard_backpack_00,20,mp,1.0,100.0,14
courtyard_backpack_00,21,mp,0.1,7.142857,14
courtyard_backpack_00,21,mp,0.2,28.571429,14
courtyard_backpack_00,21,mp,0.3,42.857143,14
courtyard_backpack_00,21,mp,0.4,78.571429,14
courtyard_backpack_00,21,mp,0.5,100.0,14
courtyard_backpack_00,21,mp,0.6,100.0,14
courtyard_backpack_00,21,mp,0.8,100.0,14
courtyard_backpack_00,21,mp,1.0,100.0,14
courtyard_backpack_00,22,mp,0.1,14.285714,14
courtyard_backpack_00,22,mp,0.2,28.571429,14
courtyard_backpack_00,22,mp,0.3,50.0,14
courtyard_backpack_00,22,mp,0.4,78.571429,14
courtyard_backpack_00,22,mp,0.5,100.0,14
courtyard_backpack_00,22,mp,0.6,100.0,14
courtyard_backpack_00,22,mp,0.8,100.0,14
courtyard_backpack_00,22,mp,1.0,100.0,14
courtyard_backpack_00,23,mp,0.1,14.285714,14
courtyard_backpack_00,23,mp,0.2,28.571429,14
courtyard_backpack_00,23,mp,0.3,50.0,14
courtyard_backpack_00,23,mp,0.4,78.571429,14
courtyard_backpack_00,23,mp,0.5,100.0,14
courtyard_backpack_00,23,mp,0.6,100.0,14
courtyard_backpack_00,23,mp,0.8,100.0,14
courtyard_backpack_00,23,mp,1.0,100.0,14
courtyard_backpack_00,24,mp,0.1,14.285714,14
courtyard_backpack_00,24,mp,0.2,28.571429,14
courtyard_backpack_00,24,mp,0.3,50.0,14
courtyard_backpack_00,24,mp,0.4,78.571429,14
courtyard_backpack_00,24,mp,0.5,100.0,14
courtyard_backpack_00,24,mp,0.6,100.0,14
courtyard_backpack_00,24,mp,0.8,100.0,14
courtyard_backpack_00,24,mp,1.0,100.0,14
courtyard_backpack_00,25,mp,0.1,14.285714,14
courtyard_backpack_00,25,mp,0.2,28.571429,14
courtyard_backpack_00,25,mp,0.3,50.0,14
courtyard_backpack_00,25,mp,0.4,78.571429,14
courtyard_backpack_00,25,mp,0.5,100.0,14
courtyard_backpack_00,25,mp,0.6,100.0,14
courtyard_backpack_00,25,mp,0.8,100.0,14
courtyard_backpack_00,25,mp,1.0,100.0,14
courtyard_backpack_00,26,mp,0.1,7.142857,14
courtyard_backpack_00,26,mp,0.2,21.428571,14
courtyard_backpack_00,26,mp,0.3,42.857143,14
courtyard_backpack_00,26,mp,0.4,71.428571,14
courtyard_backpack_00,26,mp,0.5,100.0,14
courtyard_backpack_00,26,mp,0.6,100.0,14
courtyard_backpack_00,26,mp,0.8,100.0,14
courtyard_backpack_00,26,mp,1.0,100.0,14
courtyard_backpack_00,27,mp,0.1,14.285714,14
courtyard_backpack_00,27,mp,0.2,28.571429,14
courtyard_backpack_00,27,mp,0.3,50.0,14
courtyard_backpack_00,27,mp,0.4,71.428571,14
courtyard_backpack_00,27,mp,0.5,100.0,14
courtyard_backpack_00,27,mp,0.6,100.0,14
courtyard_backpack_00,27,mp,0.8,100.0,14
courtyard_backpack_00,27,mp,1.0,100.0,14
courtyard_backpack_00,28,mp,0.1,7.142857,14
courtyard_backpack_00,28,mp,0.2,21.428571,14
courtyard_backpack_00,28,mp,0.3,35.714286,14
courtyard_backpack_00,28,mp,0.4,71.428571,14
courtyard_backpack_00,28,mp,0.5,100.0,14
courtyard_backpack_00,28,mp,0.6,100.0,14
courtyard_backpack_00,28,mp,0.8,100.0,14
courtyard_backpack_00,28,mp,1.0,100.0,14
courtyard_backpack_00,29,mp,0.1,14.285714,14
courtyard_backpack_00,29,mp,0.2,21.428571,14
courtyard_backpack_00,29,mp,0.3,35.714286,14
courtyard_backpack_00,29,mp,0.4,64.285714,14
courtyard_backpack_00,29,mp,0.5,100.0,14
courtyard_backpack_00,29,mp,0.6,100.0,14
courtyard_backpack_00,29,mp,0.8,100.0,14
courtyard_backpack_00,29,mp,1.0,100.0,14
courtyard_backpack_00,30,mp,0.1,14.285714,14
courtyard_backpack_00,30,mp,0.2,21.428571,14
courtyard_backpack_00,30,mp,0.3,35.714286,14
courtyard_backpack_00,30,mp,0.4,64.285714,14
courtyard_backpack_00,30,mp,0.5,100.0,14
courtyard_backpack_00,30,mp,0.6,100.0,14
courtyard_backpack_00,30,mp,0.8,100.0,14
courtyard_backpack_00,30,mp,1.0,100.0,14
courtyard_backpack_00,31,mp,0.1,14.285714,14
courtyard_backpack_00,31,mp,0.2,14.285714,14
courtyard_backpack_00,31,mp,0.3,35.714286,14
courtyard_backpack_00,31,mp,0.4,71.428571,14
courtyard_backpack_00,31,mp,0.5,100.0,14
courtyard_backpack_00,31,mp,0.6,100.0,14
courtyard_backpack_00,31,mp,0.8,100.0,14
courtyard_backpack_00,31,mp,1.0,100.0,14
courtyard_backpack_00,32,mp,0.1,14.285714,14
courtyard_backpack_00,32,mp,0.2,14.285714,14
courtyard_backpack_00,32,mp,0.3,35.714286,14
courtyard_backpack_00,32,mp,0.4,64.285714,14
courtyard_backpack_00,32,mp,0.5,100.0,14
courtyard_backpack_00,32,mp,0.6,100.0,14
courtyard_backpack_00,32,mp,0.8,100.0,14
courtyard_backpack_00,32,mp,1.0,100.0,14
courtyard_backpack_00,33,mp,0.1,14.285714,14
courtyard_backpack_00,33,mp,0.2,21.428571,14
courtyard_backpack_00,33,mp,0.3,35.714286,14
courtyard_backpack_00,33,mp,0.4,71.428571,14
courtyard_backpack_00,33,mp,0.5,100.0,14
courtyard_backpack_00,33,mp,0.6,100.0,14
courtyard_backpack_00,33,mp,0.8,100.0,14
courtyard_backpack_00,33,mp,1.0,100.0,14
courtyard_backpack_00,34,mp,0.1,14.285714,14
courtyard_backpack_00,34,mp,0.2,21.428571,14
courtyard_backpack_00,34,mp,0.3,35.714286,14
